1784008678.218185, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127744056269037
1784008678.552070, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127744390154435
1784008678.552427, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 117526461458325215754010112116883740577, 1784008678.129033, 1, 23, 6127744390525092
1784008678.553034, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 315324918763207020766794276747446615677, 1784008678.552895, 1, 24, 6127744391110101
1784008678.553232, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127744391306726
1784008678.585869, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127744423960271
1784008678.586006, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127744424083664
1784008678.640238, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127744478328117
1784008678.640706, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127744478790358
1784008678.975556, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127744813640318
1784008678.976261, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 315324918763207020766794276747446615677, 1784008678.552895, 1, 24, 6127744814378016
1784008678.976928, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 214206750162028694084397097711264478470, 1784008678.976863, 1, 25, 6127744815030562
1784008678.977244, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127744815319443
1784008679.015144, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127744853238395
1784008679.015298, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127744853388059
1784008679.069812, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127744907904465
1784008679.070235, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127744908322306
1784008679.407135, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127745245243631
1784008679.407806, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 214206750162028694084397097711264478470, 1784008678.976863, 1, 25, 6127745245923473
1784008679.408680, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 37218691040408823589868289427602187815, 1784008679.408534, 1, 26, 6127745246756563
