1784016632.685288, BG indexer pilot, Embed passages, run, end, 108502055180166
1784016632.685366, BG indexer pilot, Chroma indexer, run, start, 108502055251041
1784016632.708573, BG indexer pilot, Chroma indexer, run, end, 108502078460625
1784016632.708622, BG indexer pilot, pipeline - passages, run, end, 116386930862764362490171152492683953826, 1784016632.595586, 1, 18, 108502078503875
1784016632.708800, BG indexer pilot, pipeline - passages, run, start, 250132799335417603171838607786236872242, 1784016632.708774, 1, 19, 108502078679166
1784016632.708881, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502078761458
1784016632.708974, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502078852416
1784016632.709017, BG indexer pilot, Embed passages, run, start, 108502078895250
1784016632.800119, BG indexer pilot, Embed passages, run, end, 108502170013208
1784016632.800204, BG indexer pilot, Chroma indexer, run, start, 108502170091291
1784016632.816851, BG indexer pilot, Chroma indexer, run, end, 108502186736875
1784016632.816903, BG indexer pilot, pipeline - passages, run, end, 250132799335417603171838607786236872242, 1784016632.708774, 1, 19, 108502186785333
1784016632.817087, BG indexer pilot, pipeline - passages, run, start, 54021825969485746015200397323449189809, 1784016632.817057, 1, 20, 108502186967250
1784016632.817178, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502187058666
1784016632.817248, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502187126625
1784016632.817291, BG indexer pilot, Embed passages, run, start, 108502187169000
1784016632.997047, BG indexer pilot, Embed passages, run, end, 108502366938208
1784016632.997103, BG indexer pilot, Chroma indexer, run, start, 108502366985375
1784016633.008299, BG indexer pilot, Chroma indexer, run, end, 108502378185500
1784016633.008351, BG indexer pilot, pipeline - passages, run, end, 54021825969485746015200397323449189809, 1784016632.817057, 1, 20, 108502378232291
1784016633.008515, BG indexer pilot, pipeline - passages, run, start, 116468621419002652921726538851497977638, 1784016633.008490, 1, 21, 108502378396000
1784016633.008597, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502378475291
1784016633.008666, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502378544750
1784016633.008704, BG indexer pilot, Embed passages, run, start, 108502378582583
1784016633.096843, BG indexer pilot, Embed passages, run, end, 108502466737458
1784016633.096920, BG indexer pilot, Chroma indexer, run, start, 108502466804000
1784016633.113651, BG indexer pilot, Chroma indexer, run, end, 108502483541875
1784016633.113724, BG indexer pilot, pipeline - passages, run, end, 116468621419002652921726538851497977638, 1784016633.008490, 1, 21, 108502483614791
1784016633.113937, BG indexer pilot, pipeline - passages, run, start, 181546617141464103533466850112246406616, 1784016633.113907, 1, 22, 108502483823291
1784016633.114018, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502483899250
1784016633.114109, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502483988708
1784016633.114145, BG indexer pilot, Embed passages, run, start, 108502484027708
1784016633.203970, BG indexer pilot, Embed passages, run, end, 108502573870750
1784016633.204054, BG indexer pilot, Chroma indexer, run, start, 108502573940875
1784016633.223006, BG indexer pilot, Chroma indexer, run, end, 108502592892666
1784016633.223056, BG indexer pilot, pipeline - passages, run, end, 181546617141464103533466850112246406616, 1784016633.113907, 1, 22, 108502592939625
1784016633.223269, BG indexer pilot, pipeline - passages, run, start, 183837573110869786905360218435921301374, 1784016633.223241, 1, 23, 108502593150208
1784016633.223352, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502593233416
1784016633.223452, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502593332541
1784016633.223498, BG indexer pilot, Embed passages, run, start, 108502593377875
1784016633.312655, BG indexer pilot, Embed passages, run, end, 108502682552041
1784016633.312727, BG indexer pilot, Chroma indexer, run, start, 108502682613500
1784016633.332804, BG indexer pilot, Chroma indexer, run, end, 108502702696125
1784016633.332862, BG indexer pilot, pipeline - passages, run, end, 183837573110869786905360218435921301374, 1784016633.223241, 1, 23, 108502702746166
1784016633.333066, BG indexer pilot, pipeline - passages, run, start, 283674943928730781882807190764931288558, 1784016633.333035, 1, 24, 108502702948208
1784016633.333141, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108502703027416
1784016633.333239, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108502703119666
1784016633.333285, BG indexer pilot, Embed passages, run, start, 108502703165250
1784016633.440518, BG indexer pilot, Embed passages, run, end, 108502810415791
1784016633.440591, BG indexer pilot, Chroma indexer, run, start, 108502810476416
1784016633.458282, BG indexer pilot, Chroma indexer, run, end, 108502828169916
