1784081773.733884, ResNet50-v1.5 inference, pipeline - val, run, end, 230215923039235265907651210067940164970, 1784081773.728215, 1, 15, 6200839571960739
1784081773.734321, ResNet50-v1.5 inference, pipeline - val, run, start, 194355827149666252021265805721412353575, 1784081773.734165, 1, 16, 6200839572404004
1784081773.734549, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839572613300
1784081773.735843, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839573904902
1784081773.735915, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839573996582
1784081773.737349, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839575413352
1784081773.737388, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839575454440
1784081773.740313, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839578376476
1784081773.740383, ResNet50-v1.5 inference, pipeline - val, run, end, 194355827149666252021265805721412353575, 1784081773.734165, 1, 16, 6200839578467964
1784081773.740775, ResNet50-v1.5 inference, pipeline - val, run, start, 28052331459718206304486304800244688879, 1784081773.740726, 1, 17, 6200839578849709
1784081773.740947, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839579011997
1784081773.741985, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839580060142
1784081773.742043, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839580108574
1784081773.742853, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839580915119
1784081773.742891, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839580956767
1784081773.746588, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839584651653
1784081773.746653, ResNet50-v1.5 inference, pipeline - val, run, end, 28052331459718206304486304800244688879, 1784081773.740726, 1, 17, 6200839584729621
1784081773.746964, ResNet50-v1.5 inference, pipeline - val, run, start, 21844609282707180413840191020456757129, 1784081773.746920, 1, 18, 6200839585034549
1784081773.747226, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839585304742
1784081773.747817, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839585891110
1784081773.747985, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839586059671
1784081773.750338, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839588407578
1784081773.750473, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839588556986
1784081773.753698, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839591763550
1784081773.753752, ResNet50-v1.5 inference, pipeline - val, run, end, 21844609282707180413840191020456757129, 1784081773.746920, 1, 18, 6200839591827759
1784081773.754243, ResNet50-v1.5 inference, pipeline - val, run, start, 243930234166918654885406588843478105803, 1784081773.754193, 1, 19, 6200839592315311
1784081773.754511, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839592590832
1784081773.756430, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839594505682
1784081773.756532, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839594612194
1784081773.757870, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839595933924
1784081773.757912, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839595981540
1784081773.760964, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839599028105
