1783998736.790317, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 164035368100854598735378535886115463185, 1783998736.047520, 1, 20, 90606211043166
1783998736.790519, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 79157824347814637273792310916117271035, 1783998736.790488, 1, 21, 90606211240958
1783998736.790602, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90606211324541
1783998736.911593, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90606332328666
1783998736.911674, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90606332400041
1783998737.009071, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90606429811458
1783998737.018868, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90606439601166
1783998737.594537, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90607015292708
1783998737.594663, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 79157824347814637273792310916117271035, 1783998736.790488, 1, 21, 90607015396708
1783998737.595465, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 292288040166961664383408475018175014534, 1783998737.595222, 1, 22, 90607016200833
1783998737.595747, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90607016478416
1783998737.692285, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90607113023166
1783998737.692352, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90607113077791
1783998737.788664, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90607209401250
1783998737.798172, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90607218912166
1783998738.376065, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90607796802791
1783998738.376131, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 292288040166961664383408475018175014534, 1783998737.595222, 1, 22, 90607796856958
1783998738.376317, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 233022763210986927027766739569342654647, 1783998738.376290, 1, 23, 90607797040333
1783998738.376390, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90607797115333
1783998738.433705, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90607854447041
1783998738.433776, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90607854503750
1783998738.512234, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90607932970791
1783998738.520797, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90607941529916
1783998739.088883, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90608509648291
1783998739.088986, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 233022763210986927027766739569342654647, 1783998738.376290, 1, 23, 90608509713500
1783998739.089204, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 238939474714261255601921854161928837872, 1783998739.089172, 1, 24, 90608509937833
1783998739.089315, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90608510038875
1783998739.133205, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90608553941916
1783998739.133283, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90608554016583
1783998739.216739, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90608637497041
1783998739.218359, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90608639086375
1783998739.790702, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90609211463041
1783998739.790821, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 238939474714261255601921854161928837872, 1783998739.089172, 1, 24, 90609211556458
1783998739.791226, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 106416849623629497477363821358414705472, 1783998739.791173, 1, 25, 90609211962833
1783998739.791385, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90609212119041
1783998739.938058, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90609358795166
1783998739.938120, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90609358848916
1783998740.019853, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90609440599291
1783998740.028746, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90609449484166
1783998740.598196, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90610018945083
1783998740.598293, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 106416849623629497477363821358414705472, 1783998739.791173, 1, 25, 90610019033333
1783998740.598611, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 177955766099956448780463875460132753843, 1783998740.598569, 1, 26, 90610019344041
1783998740.598754, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90610019485166
1783998740.676392, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90610097131208
1783998740.676452, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90610097180583
