1783998831.909701, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701330580000
1783998831.910358, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701331236125
1783998831.910402, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701331278541
1783998831.919770, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701340649875
1783998831.919817, ResNet50-v1.5 inference, pipeline - val, run, end, 242480103973868367194143356356427338394, 1783998831.908724, 1, 18, 90701340694166
1783998831.919899, ResNet50-v1.5 inference, pipeline - val, run, start, 290730018873918618093403257230025127315, 1783998831.919884, 1, 19, 90701340776791
1783998831.919949, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701340827208
1783998831.920415, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701341302750
1783998831.920462, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701341341500
1783998831.920990, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701341867166
1783998831.921035, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701341918958
1783998831.930339, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701351221333
1783998831.930377, ResNet50-v1.5 inference, pipeline - val, run, end, 290730018873918618093403257230025127315, 1783998831.919884, 1, 19, 90701351254583
1783998831.930491, ResNet50-v1.5 inference, pipeline - val, run, start, 193262929987168887883036833498693535755, 1783998831.930475, 1, 20, 90701351368125
1783998831.930541, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701351418625
1783998831.931090, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701351967708
1783998831.931127, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701352004166
1783998831.931685, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701352562083
1783998831.931736, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701352613958
1783998831.941086, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701361965083
1783998831.941131, ResNet50-v1.5 inference, pipeline - val, run, end, 193262929987168887883036833498693535755, 1783998831.930475, 1, 20, 90701362007208
1783998831.941217, ResNet50-v1.5 inference, pipeline - val, run, start, 231129389365504522255411847431358334042, 1783998831.941200, 1, 21, 90701362093833
1783998831.941266, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701362143375
1783998831.941835, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701362718583
1783998831.941882, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701362763000
1783998831.942480, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701363360250
1783998831.942515, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701363402041
1783998831.951914, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701372793291
1783998831.951956, ResNet50-v1.5 inference, pipeline - val, run, end, 231129389365504522255411847431358334042, 1783998831.941200, 1, 21, 90701372835875
1783998831.952036, ResNet50-v1.5 inference, pipeline - val, run, start, 312078707025490728412800034911050672414, 1783998831.952021, 1, 22, 90701372913000
1783998831.952093, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701372973125
1783998831.952723, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701373601291
1783998831.952761, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701373638000
1783998831.953306, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701374183708
1783998831.953344, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701374220333
1783998831.962503, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701383382500
1783998831.962553, ResNet50-v1.5 inference, pipeline - val, run, end, 312078707025490728412800034911050672414, 1783998831.952021, 1, 22, 90701383430375
1783998831.962637, ResNet50-v1.5 inference, pipeline - val, run, start, 238619179773262478682863754680692366306, 1783998831.962618, 1, 23, 90701383513875
1783998831.962685, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701383563833
1783998831.963286, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701384164375
1783998831.963328, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701384204375
1783998831.963926, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701384807291
1783998831.963981, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701384863166
1783998831.973245, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701394126166
1783998831.973290, ResNet50-v1.5 inference, pipeline - val, run, end, 238619179773262478682863754680692366306, 1783998831.962618, 1, 23, 90701394169416
1783998831.973437, ResNet50-v1.5 inference, pipeline - val, run, start, 70707147297218408988589584192244458914, 1783998831.973411, 1, 24, 90701394315708
1783998831.973494, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701394371375
1783998831.973939, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701394817791
1783998831.973981, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701394861708
1783998831.974505, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701395382875
1783998831.974537, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701395415083
1783998831.984533, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701405414875
1783998831.984572, ResNet50-v1.5 inference, pipeline - val, run, end, 70707147297218408988589584192244458914, 1783998831.973411, 1, 24, 90701405451833
1783998831.984707, ResNet50-v1.5 inference, pipeline - val, run, start, 285807455930728293287198971055555081465, 1783998831.984686, 1, 25, 90701405587250
1783998831.984787, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701405663750
1783998831.985327, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701406205208
1783998831.985369, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701406246000
1783998831.985926, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701406804083
1783998831.985980, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701406856541
1783998831.995837, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701416718708
1783998831.995875, ResNet50-v1.5 inference, pipeline - val, run, end, 285807455930728293287198971055555081465, 1783998831.984686, 1, 25, 90701416757750
1783998831.996019, ResNet50-v1.5 inference, pipeline - val, run, start, 102990983574567154143133971065651556673, 1783998831.995995, 1, 26, 90701416897375
1783998831.996080, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701416957333
1783998831.996725, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701417603750
1783998831.996770, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701417647166
1783998831.997360, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701418242625
1783998831.997407, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701418288416
1783998832.006981, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701427861958
1783998832.007018, ResNet50-v1.5 inference, pipeline - val, run, end, 102990983574567154143133971065651556673, 1783998831.995995, 1, 26, 90701427897083
1783998832.007132, ResNet50-v1.5 inference, pipeline - val, run, start, 21020374648410462212484368909785840413, 1783998832.007116, 1, 27, 90701428009791
1783998832.007179, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701428056916
1783998832.007609, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701428491000
1783998832.007661, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701428538791
1783998832.008194, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701429076750
1783998832.008242, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701429122791
1783998832.017453, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701438334750
1783998832.017489, ResNet50-v1.5 inference, pipeline - val, run, end, 21020374648410462212484368909785840413, 1783998832.007116, 1, 27, 90701438368166
1783998832.017603, ResNet50-v1.5 inference, pipeline - val, run, start, 274572314533828994073037346388068551328, 1783998832.017588, 1, 28, 90701438480916
1783998832.017653, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701438530666
1783998832.018267, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701439145666
1783998832.018313, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701439190375
1783998832.018981, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701439859708
1783998832.019023, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701439899541
1783998832.028051, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701448933375
1783998832.028086, ResNet50-v1.5 inference, pipeline - val, run, end, 274572314533828994073037346388068551328, 1783998832.017588, 1, 28, 90701448966625
1783998832.028208, ResNet50-v1.5 inference, pipeline - val, run, start, 150113612185720957358247356306438995258, 1783998832.028191, 1, 29, 90701449086458
1783998832.028258, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701449135416
1783998832.028807, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701449685458
1783998832.028846, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701449722833
1783998832.029486, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701450367375
1783998832.029526, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701450403416
1783998832.038846, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701459726208
1783998832.038894, ResNet50-v1.5 inference, pipeline - val, run, end, 150113612185720957358247356306438995258, 1783998832.028191, 1, 29, 90701459771791
1783998832.038973, ResNet50-v1.5 inference, pipeline - val, run, start, 129438007957238616322001213721420972889, 1783998832.038956, 1, 30, 90701459849291
1783998832.039025, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701459905333
1783998832.040106, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701460985625
1783998832.040136, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701461014250
1783998832.041049, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701461926500
1783998832.041087, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701461963958
1783998832.050086, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701470965875
1783998832.050132, ResNet50-v1.5 inference, pipeline - val, run, end, 129438007957238616322001213721420972889, 1783998832.038956, 1, 30, 90701471010125
1783998832.050209, ResNet50-v1.5 inference, pipeline - val, run, start, 66035715725399167492733206272879120833, 1783998832.050193, 1, 31, 90701471086000
