cell,stage,B,kind,level_pct,metric,estimate,ci_lo,ci_hi,n_runs,unit,run_values
stage_d_clipane_L100_mlx,d,nan,clipane,100,bg_realized_qps,19.8,nan,nan,1,1/s,19.8
stage_d_clipane_L100_mlx,d,nan,clipane,100,amc_cpu_gbps,2.535,nan,nan,1,GB/s,2.535
stage_d_clipane_L100_mlx,d,nan,clipane,100,amc_gpu_gbps,147,nan,nan,1,GB/s,147
stage_d_clipane_L100_mlx,d,nan,clipane,100,amc_ane_gbps,6.043,nan,nan,1,GB/s,6.043
stage_d_clipane_L100_mlx,d,nan,clipane,100,amc_total_gbps,156.4,nan,nan,1,GB/s,156.4
stage_d_clipane_L25_mlx,d,nan,clipane,25,fg_p50_resp_s,10.6,10.48,10.61,1,s,10.6
stage_d_clipane_L25_mlx,d,nan,clipane,25,fg_throughput_qps,0.09449,nan,nan,1,1/s,0.09449
stage_d_clipane_L25_mlx,d,nan,clipane,25,fg_tok_per_s,24.17,24.13,24.44,1,tok/s,24.17
stage_d_clipane_L25_mlx,d,nan,clipane,25,fg_per_token_s,0.03639,0.03591,0.03643,1,s,0.03639
stage_d_clipane_L25_mlx,d,nan,clipane,25,fg_ttft_s,1.321,1.311,1.329,1,s,1.321
stage_d_clipane_L25_mlx,d,nan,clipane,25,bg_realized_qps,5.013,nan,nan,1,1/s,5.013
stage_d_clipane_L25_mlx,d,nan,clipane,25,amc_cpu_gbps,3.186,nan,nan,1,GB/s,3.186
stage_d_clipane_L25_mlx,d,nan,clipane,25,amc_gpu_gbps,148.8,nan,nan,1,GB/s,148.8
stage_d_clipane_L25_mlx,d,nan,clipane,25,amc_ane_gbps,2.634,nan,nan,1,GB/s,2.634
stage_d_clipane_L25_mlx,d,nan,clipane,25,amc_total_gbps,155.4,nan,nan,1,GB/s,155.4
stage_d_clipane_L50_mlx,d,nan,clipane,50,fg_p50_resp_s,10.37,10.28,10.41,1,s,10.37
stage_d_clipane_L50_mlx,d,nan,clipane,50,fg_throughput_qps,0.09464,nan,nan,1,1/s,0.09464
stage_d_clipane_L50_mlx,d,nan,clipane,50,fg_tok_per_s,24.7,24.59,24.91,1,tok/s,24.7
stage_d_clipane_L50_mlx,d,nan,clipane,50,fg_per_token_s,0.03548,0.0352,0.0357,1,s,0.03548
stage_d_clipane_L50_mlx,d,nan,clipane,50,fg_ttft_s,1.311,1.296,1.324,1,s,1.311
stage_d_clipane_L50_mlx,d,nan,clipane,50,bg_realized_qps,10.02,nan,nan,1,1/s,10.02
stage_d_clipane_L50_mlx,d,nan,clipane,50,amc_cpu_gbps,2.316,nan,nan,1,GB/s,2.316
stage_d_clipane_L50_mlx,d,nan,clipane,50,amc_gpu_gbps,149.4,nan,nan,1,GB/s,149.4
stage_d_clipane_L50_mlx,d,nan,clipane,50,amc_ane_gbps,3.183,nan,nan,1,GB/s,3.183
stage_d_clipane_L50_mlx,d,nan,clipane,50,amc_total_gbps,155.7,nan,nan,1,GB/s,155.7
stage_d_clipane_L75_mlx,d,nan,clipane,75,fg_p50_resp_s,10.38,10.28,11.01,1,s,10.38
stage_d_clipane_L75_mlx,d,nan,clipane,75,fg_throughput_qps,0.09371,nan,nan,1,1/s,0.09371
stage_d_clipane_L75_mlx,d,nan,clipane,75,fg_tok_per_s,24.68,23.26,24.92,1,tok/s,24.68
stage_d_clipane_L75_mlx,d,nan,clipane,75,fg_per_token_s,0.03551,0.03519,0.03801,1,s,0.03551
stage_d_clipane_L75_mlx,d,nan,clipane,75,fg_ttft_s,1.314,1.301,1.321,1,s,1.314
stage_d_clipane_L75_mlx,d,nan,clipane,75,bg_realized_qps,15.03,nan,nan,1,1/s,15.03
stage_d_clipane_L75_mlx,d,nan,clipane,75,amc_cpu_gbps,2.551,nan,nan,1,GB/s,2.551
stage_d_clipane_L75_mlx,d,nan,clipane,75,amc_gpu_gbps,147.6,nan,nan,1,GB/s,147.6
stage_d_clipane_L75_mlx,d,nan,clipane,75,amc_ane_gbps,6.048,nan,nan,1,GB/s,6.048
stage_d_clipane_L75_mlx,d,nan,clipane,75,amc_total_gbps,156.9,nan,nan,1,GB/s,156.9
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,fg_p50_resp_s,10.65,10.36,16.1,1,s,10.65
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,fg_throughput_qps,0.07672,nan,nan,1,1/s,0.07672
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,fg_tok_per_s,24.03,15.91,24.71,1,tok/s,24.03
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,fg_per_token_s,0.03654,0.03548,0.05677,1,s,0.03654
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,fg_ttft_s,1.345,1.314,1.623,1,s,1.345
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,bg_realized_qps,9.52,nan,nan,1,1/s,9.52
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,amc_cpu_gbps,4.948,nan,nan,1,GB/s,4.948
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,amc_gpu_gbps,135.1,nan,nan,1,GB/s,135.1
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,amc_ane_gbps,0.2239,nan,nan,1,GB/s,0.2239
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,amc_total_gbps,140.9,nan,nan,1,GB/s,140.9
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,fg_p50_resp_s,12.61,12.58,12.66,1,s,12.61
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,fg_throughput_qps,0.07901,nan,nan,1,1/s,0.07901
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,fg_tok_per_s,20.31,20.23,20.35,1,tok/s,20.31
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,fg_per_token_s,0.04325,0.04308,0.04347,1,s,0.04325
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,fg_ttft_s,1.59,1.562,1.601,1,s,1.59
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,bg_realized_qps,4.607,nan,nan,1,1/s,4.607
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,amc_cpu_gbps,4.534,nan,nan,1,GB/s,4.534
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,amc_gpu_gbps,136.2,nan,nan,1,GB/s,136.2
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,amc_ane_gbps,0.1418,nan,nan,1,GB/s,0.1418
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,amc_total_gbps,141.6,nan,nan,1,GB/s,141.6
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,fg_p50_resp_s,10.61,10.52,15.74,1,s,10.61
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,fg_throughput_qps,0.07673,nan,nan,1,1/s,0.07673
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,fg_tok_per_s,24.13,16.27,24.33,1,tok/s,24.13
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,fg_per_token_s,0.03627,0.03612,0.05545,1,s,0.03627
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,fg_ttft_s,1.363,1.314,1.597,1,s,1.363
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,bg_realized_qps,9.223,nan,nan,1,1/s,9.223
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,amc_cpu_gbps,4.344,nan,nan,1,GB/s,4.344
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,amc_gpu_gbps,134.5,nan,nan,1,GB/s,134.5
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,amc_ane_gbps,0.0786,nan,nan,1,GB/s,0.0786
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,amc_total_gbps,139.8,nan,nan,1,GB/s,139.8
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,fg_p50_resp_s,10.45,10.41,16.22,1,s,10.45
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,fg_throughput_qps,0.07682,nan,nan,1,1/s,0.07682
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,fg_tok_per_s,24.5,15.79,24.6,1,tok/s,24.5
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,fg_per_token_s,0.03581,0.0356,0.05716,1,s,0.03581
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,fg_ttft_s,1.338,1.319,1.623,1,s,1.338
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,bg_realized_qps,9.493,nan,nan,1,1/s,9.493
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,amc_cpu_gbps,4.728,nan,nan,1,GB/s,4.728
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,amc_gpu_gbps,134.9,nan,nan,1,GB/s,134.9
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,amc_ane_gbps,0.122,nan,nan,1,GB/s,0.122
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,amc_total_gbps,140.6,nan,nan,1,GB/s,140.6
stage_d_stream_L100_mlx,d,nan,stream,100,fg_p50_resp_s,10.31,10.29,10.32,1,s,10.31
stage_d_stream_L100_mlx,d,nan,stream,100,fg_throughput_qps,0.09613,nan,nan,1,1/s,0.09613
stage_d_stream_L100_mlx,d,nan,stream,100,fg_tok_per_s,24.84,24.81,24.88,1,tok/s,24.84
stage_d_stream_L100_mlx,d,nan,stream,100,fg_per_token_s,0.03534,0.0353,0.03538,1,s,0.03534
stage_d_stream_L100_mlx,d,nan,stream,100,fg_ttft_s,1.298,1.29,1.302,1,s,1.298
stage_d_stream_L100_mlx,d,nan,stream,100,bg_realized_qps,16.29,nan,nan,1,1/s,16.29
stage_d_stream_L100_mlx,d,nan,stream,100,bg_realized_bytes_ps,5.246e+10,nan,nan,1,B/s,5.246e+10
stage_d_stream_L100_mlx,d,nan,stream,100,amc_cpu_gbps,3.008,nan,nan,1,GB/s,3.008
stage_d_stream_L100_mlx,d,nan,stream,100,amc_gpu_gbps,151.7,nan,nan,1,GB/s,151.7
stage_d_stream_L100_mlx,d,nan,stream,100,amc_ane_gbps,0.02798,nan,nan,1,GB/s,0.02798
stage_d_stream_L100_mlx,d,nan,stream,100,amc_total_gbps,155.6,nan,nan,1,GB/s,155.6
stage_d_stream_L25_mlx,d,nan,stream,25,fg_p50_resp_s,11.54,11.53,11.56,1,s,11.54
stage_d_stream_L25_mlx,d,nan,stream,25,fg_throughput_qps,0.08599,nan,nan,1,1/s,0.08599
stage_d_stream_L25_mlx,d,nan,stream,25,fg_tok_per_s,22.19,22.14,22.22,1,tok/s,22.19
stage_d_stream_L25_mlx,d,nan,stream,25,fg_per_token_s,0.0401,0.04005,0.04015,1,s,0.0401
stage_d_stream_L25_mlx,d,nan,stream,25,fg_ttft_s,1.31,1.303,1.324,1,s,1.31
stage_d_stream_L25_mlx,d,nan,stream,25,bg_realized_qps,4.205,nan,nan,1,1/s,4.205
stage_d_stream_L25_mlx,d,nan,stream,25,bg_realized_bytes_ps,1.355e+10,nan,nan,1,B/s,1.355e+10
stage_d_stream_L25_mlx,d,nan,stream,25,amc_cpu_gbps,24.99,nan,nan,1,GB/s,24.99
stage_d_stream_L25_mlx,d,nan,stream,25,amc_gpu_gbps,136.3,nan,nan,1,GB/s,136.3
