1782435938.294939, baseline_finetune, training_step, run, start, 4555004133040508
1782435938.335405, baseline_finetune, training_step, run, end, 4555004173507302
1782435938.357850, baseline_finetune, training_step, run, start, 4555004195928400
1782435938.396429, baseline_finetune, training_step, run, end, 4555004234549845
1782435938.423838, baseline_finetune, training_step, run, start, 4555004261927453
1782435938.463249, baseline_finetune, training_step, run, end, 4555004301328212
1782435938.490053, baseline_finetune, training_step, run, start, 4555004328134730
1782435938.527318, baseline_finetune, training_step, run, end, 4555004365397852
1782435938.549078, baseline_finetune, training_step, run, start, 4555004387155621
1782435938.587552, baseline_finetune, training_step, run, end, 4555004425651065
1782435938.619780, baseline_finetune, training_step, run, start, 4555004457867646
1782435938.659219, baseline_finetune, training_step, run, end, 4555004497329157
1782435938.684925, baseline_finetune, training_step, run, start, 4555004523010520
1782435938.723433, baseline_finetune, training_step, run, end, 4555004561513069
1782435938.749676, baseline_finetune, training_step, run, start, 4555004587754994
1782435938.787764, baseline_finetune, training_step, run, end, 4555004625860165
1782435938.812215, baseline_finetune, training_step, run, start, 4555004650308581
1782435938.851081, baseline_finetune, training_step, run, end, 4555004689174107
1782435938.895158, baseline_finetune, training_step, run, start, 4555004733250366
1782435938.936212, baseline_finetune, training_step, run, end, 4555004774295385
1782435938.972951, baseline_finetune, training_step, run, start, 4555004811032954
1782435939.010870, baseline_finetune, training_step, run, end, 4555004848974717
1782435939.033818, baseline_finetune, training_step, run, start, 4555004871900073
1782435939.071707, baseline_finetune, training_step, run, end, 4555004909827516
1782435939.096566, baseline_finetune, training_step, run, start, 4555004934651469
1782435939.134939, baseline_finetune, training_step, run, end, 4555004973045233
1782435939.168957, baseline_finetune, training_step, run, start, 4555005007047306
1782435939.207591, baseline_finetune, training_step, run, end, 4555005045691439
1782435939.233220, baseline_finetune, training_step, run, start, 4555005071311154
1782435939.272453, baseline_finetune, training_step, run, end, 4555005110574665
1782435939.296962, baseline_finetune, training_step, run, start, 4555005135053800
1782435939.336043, baseline_finetune, training_step, run, end, 4555005174140287
1782435939.360694, baseline_finetune, training_step, run, start, 4555005198785951
1782435939.399728, baseline_finetune, training_step, run, end, 4555005237837973
1782435939.425893, baseline_finetune, training_step, run, start, 4555005263983497
1782435939.464573, baseline_finetune, training_step, run, end, 4555005302693886
1782435939.493776, baseline_finetune, training_step, run, start, 4555005331866186
1782435939.533018, baseline_finetune, training_step, run, end, 4555005371119025
1782435939.563758, baseline_finetune, training_step, run, start, 4555005401851649
1782435939.602959, baseline_finetune, training_step, run, end, 4555005441079192
1782435939.630286, baseline_finetune, training_step, run, start, 4555005468377951
1782435939.669552, baseline_finetune, training_step, run, end, 4555005507640421
1782435939.695013, baseline_finetune, training_step, run, start, 4555005533105016
1782435939.734210, baseline_finetune, training_step, run, end, 4555005572327438
1782435939.781139, baseline_finetune, training_step, run, start, 4555005619230825
1782435939.818737, baseline_finetune, training_step, run, end, 4555005656828475
1782435939.858734, baseline_finetune, training_step, run, start, 4555005696822020
1782435939.897701, baseline_finetune, training_step, run, end, 4555005735783513
1782435939.925386, baseline_finetune, training_step, run, start, 4555005763464498
1782435939.962569, baseline_finetune, training_step, run, end, 4555005800650275
1782435939.986807, baseline_finetune, training_step, run, start, 4555005824884610
1782435940.025992, baseline_finetune, training_step, run, end, 4555005864086696
1782435940.057711, baseline_finetune, training_step, run, start, 4555005895800779
1782435940.096862, baseline_finetune, training_step, run, end, 4555005934966689
1782435940.139242, baseline_finetune, training_step, run, start, 4555005977328768
1782435940.177351, baseline_finetune, training_step, run, end, 4555006015434019
1782435940.202665, baseline_finetune, training_step, run, start, 4555006040744357
1782435940.241712, baseline_finetune, training_step, run, end, 4555006079812235
1782435940.262552, baseline_finetune, training_step, run, start, 4555006100629905
1782435940.300553, baseline_finetune, training_step, run, end, 4555006138634004
1782435940.330987, baseline_finetune, training_step, run, start, 4555006169075123
1782435940.369536, baseline_finetune, training_step, run, end, 4555006207618680
1782435940.390319, baseline_finetune, training_step, run, start, 4555006228394958
1782435940.428550, baseline_finetune, training_step, run, end, 4555006266632818
1782435940.460536, baseline_finetune, training_step, run, start, 4555006298623237
1782435940.499970, baseline_finetune, training_step, run, end, 4555006338065660
1782435940.523659, baseline_finetune, training_step, run, start, 4555006361747834
1782435940.563541, baseline_finetune, training_step, run, end, 4555006401664386
1782435940.590960, baseline_finetune, training_step, run, start, 4555006429046953
1782435940.628502, baseline_finetune, training_step, run, end, 4555006466599595
1782435940.652414, baseline_finetune, training_step, run, start, 4555006490500217
1782435940.691005, baseline_finetune, training_step, run, end, 4555006529104862
1782435940.711619, baseline_finetune, training_step, run, start, 4555006549703348
1782435940.750246, baseline_finetune, training_step, run, end, 4555006588341480
1782435940.775531, baseline_finetune, training_step, run, start, 4555006613622762
1782435940.814859, baseline_finetune, training_step, run, end, 4555006652957697
1782435940.841588, baseline_finetune, training_step, run, start, 4555006679678711
1782435940.879846, baseline_finetune, training_step, run, end, 4555006717941018
1782435940.911061, baseline_finetune, training_step, run, start, 4555006749154844
1782435940.949815, baseline_finetune, training_step, run, end, 4555006787904240
1782435940.972823, baseline_finetune, training_step, run, start, 4555006810915501
1782435941.012659, baseline_finetune, training_step, run, end, 4555006850754964
1782435941.037456, baseline_finetune, training_step, run, start, 4555006875540981
1782435941.076322, baseline_finetune, training_step, run, end, 4555006914446650
1782435941.098907, baseline_finetune, training_step, run, start, 4555006936982965
1782435941.137900, baseline_finetune, training_step, run, end, 4555006975980234
1782435941.164210, baseline_finetune, training_step, run, start, 4555007002296399
1782435941.203429, baseline_finetune, training_step, run, end, 4555007041526997
1782435941.228043, baseline_finetune, training_step, run, start, 4555007066120869
1782435941.265934, baseline_finetune, training_step, run, end, 4555007104018279
1782435941.288785, baseline_finetune, training_step, run, start, 4555007126859939
1782435941.326900, baseline_finetune, training_step, run, end, 4555007164999942
1782435941.360440, baseline_finetune, training_step, run, start, 4555007198522589
1782435941.398498, baseline_finetune, training_step, run, end, 4555007236577552
1782435941.421407, baseline_finetune, training_step, run, start, 4555007259482732
1782435941.459837, baseline_finetune, training_step, run, end, 4555007297932960
1782435941.485877, baseline_finetune, training_step, run, start, 4555007323956467
1782435941.523646, baseline_finetune, training_step, run, end, 4555007361740838
1782435941.544584, baseline_finetune, training_step, run, start, 4555007382668716
1782435941.582176, baseline_finetune, training_step, run, end, 4555007420263166
1782435941.605280, baseline_finetune, training_step, run, start, 4555007443366906
1782435941.644969, baseline_finetune, training_step, run, end, 4555007483053378
1782435941.688217, baseline_finetune, training_step, run, start, 4555007526310562
1782435941.728941, baseline_finetune, training_step, run, end, 4555007567064364
1782435941.757885, baseline_finetune, training_step, run, start, 4555007595968807
1782435941.796716, baseline_finetune, training_step, run, end, 4555007634839116
1782435941.823130, baseline_finetune, training_step, run, start, 4555007661214353
1782435941.861438, baseline_finetune, training_step, run, end, 4555007699519813
1782435941.884387, baseline_finetune, training_step, run, start, 4555007722464512
1782435941.922653, baseline_finetune, training_step, run, end, 4555007760749780
1782435941.953328, baseline_finetune, training_step, run, start, 4555007791422020
1782435941.992347, baseline_finetune, training_step, run, end, 4555007830436937
