# E2 collection
# started      : 2026-08-28 18:09:59 +0200
# machine      : gb10
# git_commit   : a64f8e2f497dac51297c190384fa5d4cb93ff32b
# git_dirty    : yes
# host         : spark-cc0d
# platform     : Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39
# python       : 3.10.19
# torch        : 2.10.0+cu130
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : 5-9,15-19
# runs         : 11
[08-28 18:10:01] pinning workload to core(s) [5-9,15-19]
[08-28 18:10:01] E2 collection: 9 cell(s) x 3 configurations x 11 runs on gb10
[08-28 19:47:48]   mod_meffv2s_b2_choreo-traced_gb10_r9 rc=0 11s rows=603 spans=2401
[08-28 19:47:57]   mod_meffv2s_b2_monolith_gb10_r9 rc=0 9s rows=605 spans=n/a
[08-28 19:48:07]   mod_meffv2s_b2_choreo_gb10_r9 rc=0 10s rows=602 spans=n/a
[08-28 19:48:16]   mod_meffv2s_b2_monolith_gb10_r10 rc=0 9s rows=605 spans=n/a
[08-28 19:48:27]   mod_meffv2s_b2_choreo_gb10_r10 rc=0 11s rows=602 spans=n/a
[08-28 19:48:37]   mod_meffv2s_b2_choreo-traced_gb10_r10 rc=0 10s rows=603 spans=2401
[08-28 19:48:47]   mod_meffv2s_b2_choreo_gb10_r11 rc=0 10s rows=602 spans=n/a
[08-28 19:48:58]   mod_meffv2s_b2_choreo-traced_gb10_r11 rc=0 11s rows=603 spans=2401
[08-28 19:49:08]   mod_meffv2s_b2_monolith_gb10_r11 rc=0 10s rows=605 spans=n/a
[08-28 19:50:33]   mod_meffv2s_b32_monolith_gb10_r1 rc=0 85s rows=605 spans=n/a
[08-28 19:51:59]   mod_meffv2s_b32_choreo_gb10_r1 rc=0 86s rows=602 spans=n/a
[08-28 19:53:26]   mod_meffv2s_b32_choreo-traced_gb10_r1 rc=0 87s rows=603 spans=2401
[08-28 19:54:52]   mod_meffv2s_b32_choreo_gb10_r2 rc=0 86s rows=602 spans=n/a
[08-28 19:56:19]   mod_meffv2s_b32_choreo-traced_gb10_r2 rc=0 87s rows=603 spans=2401
[08-28 19:57:44]   mod_meffv2s_b32_monolith_gb10_r2 rc=0 85s rows=605 spans=n/a
[08-28 19:59:11]   mod_meffv2s_b32_choreo-traced_gb10_r3 rc=0 87s rows=603 spans=2401
[08-28 20:00:37]   mod_meffv2s_b32_monolith_gb10_r3 rc=0 86s rows=605 spans=n/a
[08-28 20:02:03]   mod_meffv2s_b32_choreo_gb10_r3 rc=0 86s rows=602 spans=n/a
[08-28 20:03:28]   mod_meffv2s_b32_monolith_gb10_r4 rc=0 85s rows=605 spans=n/a
[08-28 20:04:55]   mod_meffv2s_b32_choreo_gb10_r4 rc=0 87s rows=602 spans=n/a
[08-28 20:06:21]   mod_meffv2s_b32_choreo-traced_gb10_r4 rc=0 86s rows=603 spans=2401
[08-28 20:07:48]   mod_meffv2s_b32_choreo_gb10_r5 rc=0 87s rows=602 spans=n/a
[08-28 20:09:15]   mod_meffv2s_b32_choreo-traced_gb10_r5 rc=0 87s rows=603 spans=2401
[08-28 20:10:40]   mod_meffv2s_b32_monolith_gb10_r5 rc=0 85s rows=605 spans=n/a
