config	cell	run	rc	seconds	csv_rows	spans
choreo-traced	meffv2s_b64	9	0	297	603	2401
monolith	meffv2s_b64	9	0	293	605	
choreo	meffv2s_b64	9	0	299	602	
monolith	meffv2s_b64	10	0	300	605	
choreo	meffv2s_b64	10	0	322	602	
choreo-traced	meffv2s_b64	10	0	299	603	2401
choreo	meffv2s_b64	11	0	297	602	
choreo-traced	meffv2s_b64	11	0	298	603	2401
monolith	meffv2s_b64	11	0	293	605	
monolith	meffv2s_b8	1	0	42	605	
choreo	meffv2s_b8	1	0	44	602	
choreo-traced	meffv2s_b8	1	0	46	603	2401
choreo	meffv2s_b8	2	0	44	602	
choreo-traced	meffv2s_b8	2	0	46	603	2401
monolith	meffv2s_b8	2	0	42	605	
choreo-traced	meffv2s_b8	3	0	50	603	2401
monolith	meffv2s_b8	3	0	56	605	
choreo	meffv2s_b8	3	0	50	602	
monolith	meffv2s_b8	4	0	44	605	
choreo	meffv2s_b8	4	0	47	602	
choreo-traced	meffv2s_b8	4	0	49	603	2401
choreo	meffv2s_b8	5	0	46	602	
choreo-traced	meffv2s_b8	5	0	46	603	2401
monolith	meffv2s_b8	5	0	43	605	
choreo-traced	meffv2s_b8	6	0	46	603	2401
monolith	meffv2s_b8	6	0	43	605	
choreo	meffv2s_b8	6	0	45	602	
monolith	meffv2s_b8	7	0	43	605	
choreo	meffv2s_b8	7	0	45	602	
choreo-traced	meffv2s_b8	7	0	45	603	2401
choreo	meffv2s_b8	8	0	44	602	
choreo-traced	meffv2s_b8	8	0	46	603	2401
monolith	meffv2s_b8	8	0	42	605	
choreo-traced	meffv2s_b8	9	0	46	603	2401
monolith	meffv2s_b8	9	0	42	605	
choreo	meffv2s_b8	9	0	45	602	
monolith	meffv2s_b8	10	0	43	605	
choreo	meffv2s_b8	10	0	44	602	
choreo-traced	meffv2s_b8	10	0	46	603	2401
choreo	meffv2s_b8	11	0	43	602	
choreo-traced	meffv2s_b8	11	0	46	603	2401
monolith	meffv2s_b8	11	0	42	605	
