1769541973.714044, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.714058, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.714084, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.714096, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.714121, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.714132, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.713627, 9, 1
1769541973.714198, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.714161, 10, 1
1769541973.714256, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.714272, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.714284, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.714307, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.714318, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.714340, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.714351, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.714373, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.714384, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.714405, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.714417, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.714440, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.714451, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.714474, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.714485, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.714508, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.714519, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.714540, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.714551, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.714575, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.714586, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.714161, 10, 1
