1769541867.726874, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.726898, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.726931, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.726947, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.726962, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.726977, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.726991, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.727006, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.727046, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.727131, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.727177, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.727235, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.727252, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.727282, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.727295, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.727350, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.727368, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.727404, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.727428, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.726771, 9, 1
1769541867.727520, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.727465, 10, 1
1769541867.727728, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.727757, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.727775, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.727794, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.727846, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.727928, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.727987, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.728022, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.728078, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.728168, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.728213, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.728235, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.728251, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.728268, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.728284, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.728301, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.728326, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.728354, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.728386, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.728403, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.728428, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.727465, 10, 1
