arm	depth	run	rc	seconds	csv_rows	spans
uninstrumented	128	29	0	4	204	
spans-only	128	29	0	5	205	26262
spans-only	128	30	0	6	205	26262
uninstrumented	128	30	0	4	204	
uninstrumented	128	31	0	4	204	
spans-only	128	31	0	5	205	26262
uninstrumented	p0_ref	1	0	4	204	
spans-only	p0_ref	1	0	5	205	2426
spans-only	p0_ref	2	0	5	205	2426
uninstrumented	p0_ref	2	0	4	204	
uninstrumented	p0_ref	3	0	4	204	
spans-only	p0_ref	3	0	5	205	2426
spans-only	p0_ref	4	0	5	205	2426
uninstrumented	p0_ref	4	0	4	204	
uninstrumented	p0_ref	5	0	5	204	
spans-only	p0_ref	5	0	5	205	2426
spans-only	p0_ref	6	0	5	205	2426
uninstrumented	p0_ref	6	0	4	204	
uninstrumented	p0_ref	7	0	4	204	
spans-only	p0_ref	7	0	5	205	2426
spans-only	p0_ref	8	0	5	205	2426
uninstrumented	p0_ref	8	0	4	204	
uninstrumented	p0_ref	9	0	4	204	
spans-only	p0_ref	9	0	5	205	2426
spans-only	p0_ref	10	0	5	205	2426
uninstrumented	p0_ref	10	0	4	204	
uninstrumented	p0_ref	11	0	4	204	
spans-only	p0_ref	11	0	5	205	2426
uninstrumented	p0_copy	1	0	4	204	
spans-only	p0_copy	1	0	6	205	2426
spans-only	p0_copy	2	0	5	205	2426
uninstrumented	p0_copy	2	0	4	204	
uninstrumented	p0_copy	3	0	4	204	
spans-only	p0_copy	3	0	5	205	2426
spans-only	p0_copy	4	0	5	205	2426
uninstrumented	p0_copy	4	0	4	204	
uninstrumented	p0_copy	5	0	5	204	
spans-only	p0_copy	5	0	5	205	2426
spans-only	p0_copy	6	0	5	205	2426
uninstrumented	p0_copy	6	0	4	204	
uninstrumented	p0_copy	7	0	4	204	
spans-only	p0_copy	7	0	5	205	2426
spans-only	p0_copy	8	0	5	205	2426
uninstrumented	p0_copy	8	0	4	204	
uninstrumented	p0_copy	9	0	4	204	
spans-only	p0_copy	9	0	5	205	2426
spans-only	p0_copy	10	0	5	205	2426
uninstrumented	p0_copy	10	0	4	204	
uninstrumented	p0_copy	11	0	4	204	
spans-only	p0_copy	11	0	5	205	2426
uninstrumented	p1024_ref	1	0	4	204	
spans-only	p1024_ref	1	0	5	205	2426
spans-only	p1024_ref	2	0	6	205	2426
uninstrumented	p1024_ref	2	0	4	204	
uninstrumented	p1024_ref	3	0	4	204	
spans-only	p1024_ref	3	0	5	205	2426
spans-only	p1024_ref	4	0	5	205	2426
uninstrumented	p1024_ref	4	0	4	204	
uninstrumented	p1024_ref	5	0	4	204	
spans-only	p1024_ref	5	0	5	205	2426
spans-only	p1024_ref	6	0	5	205	2426
uninstrumented	p1024_ref	6	0	4	204	
uninstrumented	p1024_ref	7	0	4	204	
spans-only	p1024_ref	7	0	5	205	2426
spans-only	p1024_ref	8	0	5	205	2426
uninstrumented	p1024_ref	8	0	4	204	
uninstrumented	p1024_ref	9	0	5	204	
spans-only	p1024_ref	9	0	5	205	2426
spans-only	p1024_ref	10	0	5	205	2426
uninstrumented	p1024_ref	10	0	4	204	
uninstrumented	p1024_ref	11	0	4	204	
spans-only	p1024_ref	11	0	5	205	2426
uninstrumented	p1024_copy	1	0	4	204	
spans-only	p1024_copy	1	0	5	205	2426
spans-only	p1024_copy	2	0	5	205	2426
uninstrumented	p1024_copy	2	0	5	204	
uninstrumented	p1024_copy	3	0	4	204	
spans-only	p1024_copy	3	0	5	205	2426
spans-only	p1024_copy	4	0	5	205	2426
uninstrumented	p1024_copy	4	0	4	204	
uninstrumented	p1024_copy	5	0	4	204	
spans-only	p1024_copy	5	0	4	205	2426
spans-only	p1024_copy	6	0	5	205	2426
uninstrumented	p1024_copy	6	0	4	204	
uninstrumented	p1024_copy	7	0	4	204	
spans-only	p1024_copy	7	0	5	205	2426
spans-only	p1024_copy	8	0	5	205	2426
uninstrumented	p1024_copy	8	0	4	204	
uninstrumented	p1024_copy	9	0	5	204	
spans-only	p1024_copy	9	0	5	205	2426
spans-only	p1024_copy	10	0	5	205	2426
uninstrumented	p1024_copy	10	0	4	204	
uninstrumented	p1024_copy	11	0	4	204	
spans-only	p1024_copy	11	0	5	205	2426
uninstrumented	p1048576_ref	1	0	4	204	
spans-only	p1048576_ref	1	0	5	205	2426
spans-only	p1048576_ref	2	0	5	205	2426
uninstrumented	p1048576_ref	2	0	5	204	
uninstrumented	p1048576_ref	3	0	4	204	
spans-only	p1048576_ref	3	0	5	205	2426
spans-only	p1048576_ref	4	0	5	205	2426
uninstrumented	p1048576_ref	4	0	4	204	
uninstrumented	p1048576_ref	5	0	4	204	
spans-only	p1048576_ref	5	0	5	205	2426
spans-only	p1048576_ref	6	0	5	205	2426
uninstrumented	p1048576_ref	6	0	5	204	
uninstrumented	p1048576_ref	7	0	4	204	
spans-only	p1048576_ref	7	0	6	205	2426
spans-only	p1048576_ref	8	0	6	205	2426
uninstrumented	p1048576_ref	8	0	4	204	
uninstrumented	p1048576_ref	9	0	4	204	
spans-only	p1048576_ref	9	0	5	205	2426
spans-only	p1048576_ref	10	0	5	205	2426
uninstrumented	p1048576_ref	10	0	5	204	
uninstrumented	p1048576_ref	11	0	4	204	
spans-only	p1048576_ref	11	0	5	205	2426
uninstrumented	p1048576_copy	1	0	4	204	
spans-only	p1048576_copy	1	0	5	205	2426
spans-only	p1048576_copy	2	0	5	205	2426
uninstrumented	p1048576_copy	2	0	4	204	
uninstrumented	p1048576_copy	3	0	4	204	
spans-only	p1048576_copy	3	0	5	205	2426
spans-only	p1048576_copy	4	0	5	205	2426
uninstrumented	p1048576_copy	4	0	5	204	
uninstrumented	p1048576_copy	5	0	5	204	
spans-only	p1048576_copy	5	0	5	205	2426
spans-only	p1048576_copy	6	0	6	205	2426
uninstrumented	p1048576_copy	6	0	4	204	
uninstrumented	p1048576_copy	7	0	5	204	
spans-only	p1048576_copy	7	0	5	205	2426
spans-only	p1048576_copy	8	0	5	205	2426
uninstrumented	p1048576_copy	8	0	4	204	
uninstrumented	p1048576_copy	9	0	4	204	
spans-only	p1048576_copy	9	0	5	205	2426
spans-only	p1048576_copy	10	0	5	205	2426
uninstrumented	p1048576_copy	10	0	4	204	
uninstrumented	p1048576_copy	11	0	5	204	
spans-only	p1048576_copy	11	0	5	205	2426
uninstrumented	p10485760_ref	1	0	4	204	
spans-only	p10485760_ref	1	0	5	205	2426
spans-only	p10485760_ref	2	0	5	205	2426
uninstrumented	p10485760_ref	2	0	4	204	
uninstrumented	p10485760_ref	3	0	4	204	
spans-only	p10485760_ref	3	0	5	205	2426
spans-only	p10485760_ref	4	0	5	205	2426
uninstrumented	p10485760_ref	4	0	4	204	
uninstrumented	p10485760_ref	5	0	4	204	
spans-only	p10485760_ref	5	0	5	205	2426
spans-only	p10485760_ref	6	0	5	205	2426
uninstrumented	p10485760_ref	6	0	4	204	
uninstrumented	p10485760_ref	7	0	4	204	
spans-only	p10485760_ref	7	0	5	205	2426
spans-only	p10485760_ref	8	0	5	205	2426
uninstrumented	p10485760_ref	8	0	5	204	
uninstrumented	p10485760_ref	9	0	4	204	
spans-only	p10485760_ref	9	0	5	205	2426
spans-only	p10485760_ref	10	0	5	205	2426
uninstrumented	p10485760_ref	10	0	4	204	
uninstrumented	p10485760_ref	11	0	4	204	
spans-only	p10485760_ref	11	0	5	205	2426
uninstrumented	p10485760_copy	1	0	4	204	
spans-only	p10485760_copy	1	0	5	205	2426
spans-only	p10485760_copy	2	0	6	205	2426
uninstrumented	p10485760_copy	2	0	4	204	
uninstrumented	p10485760_copy	3	0	4	204	
spans-only	p10485760_copy	3	0	6	205	2426
spans-only	p10485760_copy	4	0	5	205	2426
uninstrumented	p10485760_copy	4	0	4	204	
uninstrumented	p10485760_copy	5	0	5	204	
spans-only	p10485760_copy	5	0	5	205	2426
spans-only	p10485760_copy	6	0	5	205	2426
uninstrumented	p10485760_copy	6	0	4	204	
uninstrumented	p10485760_copy	7	0	4	204	
spans-only	p10485760_copy	7	0	5	205	2426
spans-only	p10485760_copy	8	0	5	205	2426
uninstrumented	p10485760_copy	8	0	5	204	
uninstrumented	p10485760_copy	9	0	4	204	
spans-only	p10485760_copy	9	0	5	205	2426
spans-only	p10485760_copy	10	0	5	205	2426
uninstrumented	p10485760_copy	10	0	5	204	
uninstrumented	p10485760_copy	11	0	4	204	
spans-only	p10485760_copy	11	0	5	205	2426
