arm	depth	run	rc	seconds	csv_rows	spans
uninstrumented	128	7	0	2	204	
both	128	8	0	3	26061	39318
as-reported	128	8	0	2	26060	
uninstrumented	128	8	0	2	204	
spans-only	128	8	0	3	205	39318
as-reported	128	9	0	2	26060	
uninstrumented	128	9	0	2	204	
spans-only	128	9	0	3	205	39318
both	128	9	0	3	26061	39318
uninstrumented	128	10	0	2	204	
spans-only	128	10	0	3	205	39318
both	128	10	0	3	26061	39318
as-reported	128	10	0	2	26060	
spans-only	128	11	0	3	205	39318
both	128	11	0	4	26061	39318
as-reported	128	11	0	2	26060	
uninstrumented	128	11	0	2	204	
